zip,state,city,county,latitude,longitude
00501,NY,Holtsville,Suffolk,40.82,-73.05
00544,NY,Holtsville,Suffolk,40.81,-73.05
00601,PR,Adjuntas,Adjuntas,18.17,-66.72
00602,PR,Aguada,Aguada,18.38,-67.19
00603,PR,Aguadilla,Aguadilla,18.44,-67.15
00604,PR,Aguadilla,Aguadilla,18.5,-67.14
00605,PR,Aguadilla,Aguadilla,18.44,-67.15
00606,PR,Maricao,Maricao,18.19,-66.98
00610,PR,Anasco,Anasco,18.29,-67.14
00611,PR,Angeles,Utuado,18.29,-66.8
00612,PR,Arecibo,Arecibo,18.47,-66.73
00613,PR,Arecibo,Arecibo,18.47,-66.72
00614,PR,Arecibo,Arecibo,18.46,-66.74
00616,PR,Bajadero,Arecibo,18.43,-66.68
00617,PR,Barceloneta,Barceloneta,18.46,-66.54
00622,PR,Boqueron,Cabo Rojo,18.02,-67.17
00623,PR,Cabo Rojo,Cabo Rojo,18.08,-67.15
00624,PR,Penuelas,Penuelas,18,-66.34
00627,PR,Camuy,Camuy,18.49,-66.85
00631,PR,Castaner,Lares,18.18,-66.83
00636,PR,Rosario,San German,18.2,-67.14
00637,PR,Sabana Grande,Sabana Grande,18.08,-66.97
00638,PR,Ciales,Ciales,18.34,-66.47
00641,PR,Utuado,Utuado,18.27,-66.71
00646,PR,Dorado,Dorado,18.47,-66.27
00647,PR,Ensenada,Guanica,17.97,-66.94
00650,PR,Florida,Florida,18.36,-66.56
00652,PR,Garrochales,Arecibo,18.46,-66.57
00653,PR,Guanica,Guanica,17.97,-66.91
00656,PR,Guayanilla,Guayanilla,18.02,-66.79
00659,PR,Hatillo,Hatillo,18.49,-66.83
00660,PR,Hormigueros,Hormigueros,18.14,-67.13
00662,PR,Isabela,Isabela,18.5,-67.02
00664,PR,Jayuya,Jayuya,18.22,-66.59
00667,PR,Lajas,Lajas,18.04,-67.06
00669,PR,Lares,Lares,18.3,-66.88
00670,PR,Las Marias,Las Marias,18.25,-66.99
00674,PR,Manati,Manati,18.43,-66.48
00676,PR,Moca,Moca,18.4,-67.11
00677,PR,Rincon,Rincon,18.34,-67.25
00678,PR,Quebradillas,Quebradillas,18.48,-66.94
00680,PR,Mayaguez,Mayaguez,18.2,-67.14
00681,PR,Mayaguez,Mayaguez,18.2,-67.14
00682,PR,Mayaguez,Mayaguez,18.2,-67.14
00683,PR,San German,San German,18.08,-67.05
00685,PR,San Sebastian,San Sebastian,18.34,-67
00687,PR,Morovis,Morovis,18.33,-66.41
00688,PR,Sabana Hoyos,Arecibo,18.43,-66.61
00690,PR,San Antonio,Aguadilla,18.5,-67.1
00692,PR,Vega Alta,Vega Alta,18.42,-66.32
